P1190298	Welcome song, Uros floating island, Peru	http://www.youtube.com/watch?v=p4DakxuVfRg&feature=youtube_gdata_player	Uros people welcoming a tourist group on their floating island	peru	34	33
P1300504	Teaching the multiplication algorithm	http://www.youtube.com/watch?v=7pbVWbuCe1Q&feature=youtube_gdata_player	A mathematics teacher teaching the multiplication algorithm to schoolchildren in a Lahu/Hmong village.	laos	17	37
P1340601	Fireworks in the honor of Queen Sirikit	http://www.youtube.com/watch?v=rDUS_vt9eZE&feature=youtube_gdata_player	Fireworks at Sanam Luang in the honor of Queen Sirikit of Thailand	thailand	35	7
P1370526	Musical fountains	http://www.youtube.com/watch?v=_xNwMh_iZRg&feature=youtube_gdata_player	Water show in Xi'an	china	7	6
P1300091	Lahu massage	http://www.youtube.com/watch?v=n-UOaO1d9H4&feature=youtube_gdata_player	Two Lahu women performing Lahu massage in a small mountain village in Northern Thailand. Lahu massage is not as painful as Thai massage.	thailand	24	448
P1160129	Chasing a rooster, Ecuador	http://www.youtube.com/watch?v=PTxWBxtsCyA&feature=youtube_gdata_player	A rooster on the loose at the Quilotoa crater ake	ecuador	9	11
P1370650	Band at Raffles Mall	http://www.youtube.com/watch?v=pt1gyjPJffw&feature=youtube_gdata_player	A band performing at the Raffles Mall in Beijing.	china	17	29
P1370501	Sugar candy blower in Xi'an	http://www.youtube.com/watch?v=lQasU22l0pc&feature=youtube_gdata_player		china	29	195
P1260429	Train station employees hopping on a moving train	http://www.youtube.com/watch?v=JilMdGJ_PA0&feature=youtube_gdata_player	Gambir train station employees (yellow uniform) running and hopping on a moving train. Didn't understand why. Filmed while waiting for the Jakarta-Yogyakarta train.	indonesia, java, jakarta	38	138
P1250740	Paiya dance	http://www.youtube.com/watch?v=EGjhY-7ifxc&feature=youtube_gdata_player	Paiya villagers performing a dance.	papua_new_guinea	25	25
P1350710	The Hunchback of Notre-Dame by Disney	http://www.youtube.com/watch?v=Sewy7Sj-RRk&feature=youtube_gdata_player	Disneyland show in Hong Kong Disneyland	hong_kong	16	23
P1150585	Pululawa crater with thick fog	http://www.youtube.com/watch?v=mlUu3xleU1Q&feature=youtube_gdata_player	Fog hiding and revealing a village in the bottom of the Pululawa crater, close to Mitad del Mundo, Ecuador.	ecuador	76	10
P1320704	Listing of favourite countries	http://www.youtube.com/watch?v=aRWvkmuKZw8&feature=youtube_gdata_player	Csilla listing her favourite countries in this trip: Papua New Guinea, Rapa Nui, and Indonesia.	vietnam	77	6
P1330487	Waving Cambodian children by the Mekong river	http://www.youtube.com/watch?v=NSJFO4rBjVA&feature=youtube_gdata_player	Waving Cambodian children viewed from a Mekong riverboat	cambodia	29	37
P1250749	Paiya village dance	http://www.youtube.com/watch?v=YuN3DUh4_ZY&feature=youtube_gdata_player	Dance in the Paiya village, PNG Highlands close to Mount Hagen	papua_new_guinea	18	26
P1180256	Taking off with a tiny plane at Nazca	http://www.youtube.com/watch?v=pDj3BZRogKo&feature=youtube_gdata_player	Beginning of a Nazca lines viewing	peru	13	6
P1360394	Gondolier	http://www.youtube.com/watch?v=349Bc6uKNrw&feature=youtube_gdata_player	Gondolier on the indoor Canale Grande, The Venetian casino and hotel, Macau	macau	21	133
P1240409	Riding a scooter	http://www.youtube.com/watch?v=x9vcQFaNkCM&feature=youtube_gdata_player	Two people wearing helmets and riding a scooter on the Huahine island in French Polynesia.	french_polynesia, huahine	12	13
P1350679	It's a small world after all, musical ride in Hong Kong Disneyland	http://www.youtube.com/watch?v=bFpUuodgjBw&feature=youtube_gdata_player	Riding a boat by a set of musical puppets who sing "It's a small world after all", Hong Kong Disneyland	hong_kong	38	98
