20100427	dbl-b, Nomads Maze, Sydney, Australia
20100428	dbl-b, Nomads Maze, Sydney, Australia
20100429	couch, MJ's, Parramatta, Australia
20100430	dbl-b, Caravella, Cairns, Australia
20100501	dbl+b, Hotel Gateway, Port Moresby, Papua New Guinea
20100502	bungalow, Kumul lodge, Enga province, Papua New Guinea
20100503	bungalow, Magic Mountain lodge, Western Highlands province, Papua New Guinea
20100504	bungalow, Magic Mountain lodge, Western Highlands province, Papua New Guinea
20100505	dbl+b, Lutheran Guesthouse, Goroka, Papua New Guinea
20100506	dbl+b, Lutheran Guesthouse, Goroka, Papua New Guinea
20100507	dbl+b, Lutheran Guesthouse, Madang, Papua New Guinea
20100508	dbl+b, Lutheran Guesthouse, Madang, Papua New Guinea
20100509	dbl+b, Lutheran Guesthouse, Madang, Papua New Guinea
20100510	dbl-b, Caravella, Cairns, Australia
20100511	dbl-b, Caravella, Cairns, Australia
20100512	dbl-b, Caravella, Cairns, Australia
20100513	dbl-b, Caravella, Cairns, Australia
20100514	dbl+b, Tator, Jakarta, Indonesia
20100515	dbl+b, Tator, Jakarta, Indonesia
20100516	dbl+b, Tator, Jakarta, Indonesia
20100517	dbl+b, Merbabu, Yogyakarta, Indonesia
20100518	dbl+b, Merbabu, Yogyakarta, Indonesia
20100519	dbl+b, Merbabu, Yogyakarta, Indonesia
20100520	dbl+b, Merbabu, Yogyakarta, Indonesia
20100521	dbl-b, Yoschi's, Wonokerto, Indonesia
20100522	dbl-b, Yoschi's, Wonokerto, Indonesia
20100523	dbl-b, New Cahaya Hotel, Surabaya, Indonesia
20100524	dbl+b, Losmen Sibayak, Berastagi, Indonesia
20100525	dbl+b, Losmen Sibayak, Berastagi, Indonesia
20100526	dbl+b, Leuser Sibayak, Bukit Lawang, Indonesia
20100527	dbl+b, Leuser Sibayak, Bukit Lawang, Indonesia
20100528	dbl+b, Leuser Sibayak, Bukit Lawang, Indonesia
20100529	tent, Gunung Leuser National Park, Indonesia
20100530	dbl+b, Leuser Sibayak, Bukit Lawang, Indonesia
20100531	dbl+b, Pondok Wisata Angel, Medan, Indonesia
20100601	dbl-b, Crystal Guesthouse, Georgetown, Malaysia
20100602	dbl-b, Tourist Guest House, Georgetown, Malaysia
20100603	dbl-b, Tourist Guest House, Georgetown, Malaysia
20100604	dbl-b, Tourist Guest House, Georgetown, Malaysia
20100605	dbl+b, ???, Thale Noi, Thailand
20100606	train, Phatthalung -> Bangkok
20100607	dbl+b, New Siam GH, Bangkok, Thailand
20100608	dbl+b, New Siam GH, Bangkok, Thailand
20100609	dbl+b, New Siam GH, Bangkok, Thailand
20100610	dbl+b, New Siam GH, Bangkok, Thailand
20100611	dbl+b, Happy House, Bangkok, Thailand
20100612	dbl+b, Happy House, Bangkok, Thailand
20100613	dbl+b, Happy House, Bangkok, Thailand
20100614	dbl+b, Happy House, Bangkok, Thailand
20100615	dbl+b, Happy House, Bangkok, Thailand
20100616	dbl+b, Happy House, Bangkok, Thailand
20100617	dbl+b, Happy House, Bangkok, Thailand
20100618	bus, Bangkok -> Chiang Mai, Thailand
20100619	sng+b, Golden House, Chiang Mai, Thailand
20100620	sng+b, Golden House, Chiang Mai, Thailand
20100621	sng+b, Golden House, Chiang Mai, Thailand
20100622	dorm, Jumbo camp, close to Chiang Mai, Thailand
20100623	dorm, Lahu village, close to Chiang Mai, Thailand
20100624	sng+b, Golden House, Chiang Mai, Thailand
20100625	sng+b, Golden House, Chiang Mai, Thailand
20100626	dbl-b, Namkhong, Chiang Khong, Thailand
20100627	bungalow, Vieng Phoukha, Laos
20100628	village, close to Vieng Phoukha, Laos
20100629	village, close to Vieng Phoukha, Laos
20100630	dbl+b, ???, Ban Houayxay, Laos
20100701	dbl+b, Phoy Lath Da Guest House, Pakbeng, Laos
20100702	dbl+b, Nam Sok, Luang Prabang, Laos
20100703	dbl+b, Nam Sok, Luang Prabang, Laos
20100704	dbl+b, Nam Sok, Luang Prabang, Laos
20100705	dbl+b, Nam Sok, Luang Prabang, Laos
20100706	dbl+b, Sabaidee, Phonsavan, Laos
20100707	dbl+b, Sabaidee, Phonsavan, Laos
20100708	dbl+b, Hanoi Lucky Hotel, Hanoi, Vietnam
20100709	dbl+b, Hanoi Lucky Hotel, Hanoi, Vietnam
20100710	dbl+b, Hanoi Lucky Hotel, Hanoi, Vietnam
20100711	dbl+b, Hanoi Lucky Hotel, Hanoi, Vietnam
20100712	dbl+b/boat, Boat Imperial, Halong Bay, Vietnam
20100713	bungalow, Nam Cat Island Resort, Halong Bay, Vietnam
20100714	bus, 15h, Hanoi -> Hue, Vietnam
20100715	dbl+b, Ngọc Bình, Hue, Vietnam
20100716	dbl+b, Ngọc Bình, Hue, Vietnam
20100717	dbl+b, Pho Hoi 1, Hoi An, Vietnam
20100718	dbl+b, Pho Hoi 1, Hoi An, Vietnam
20100719	bus, 11h, Hoi An -> Nha Trang, Vietnam
20100720	dbl+b, Nhi Hang, Nha Trang, Vietnam
20100721	dbl+b, Nice Dream, Dalat, Vietnam
20100722	dbl+b, Nice Dream, Dalat, Vietnam
20100723	dbl+b, Sea Winds Resort, Muine, Vietnam
20100724	dbl+b, Sea Winds Resort, Muine, Vietnam
20100725	dbl+b, Thien Hong, HCMC, Vietnam
20100726	dbl+b, Thien Hong, HCMC, Vietnam
20100727	dbl+b, Thien Hong, HCMC, Vietnam
20100728	dbl+b, Thien Hong, HCMC, Vietnam
20100729	dbl+b, Huy Hoang, Can Tho, Vietnam
20100730	dbl+b, Vinh Phuoc, Chau Doc, Vietnam
20100731	dbl+b, King Guesthouse, Phnom Penh, Cambodia
20100801	dbl+b, King Guesthouse, Phnom Penh, Cambodia
20100802	bungalow, G.S.T Guesthouse, Sihanoukville, Cambodia
20100803	bungalow, G.S.T Guesthouse, Sihanoukville, Cambodia
20100804	dbl+b, Star, Kratie, Cambodia
20100805	dbl+b, Ta Som, Siem Reap, Cambodia
20100806	dbl+b, Ta Som, Siem Reap, Cambodia
20100807	dbl+b, Ta Som, Siem Reap, Cambodia
20100808	dbl+b, Ta Som, Siem Reap, Cambodia
20100809	dbl+b, Ta Som, Siem Reap, Cambodia
20100810	dbl+b, Ta Som, Siem Reap, Cambodia
20100811	dbl+b, Happy House, Bangkok, Thailand
20100812	dbl+b, Happy House, Bangkok, Thailand
20100813	dbl+b, Happy House, Bangkok, Thailand
20100814	plane, 4h, Bangkok -> Mumbai
20100815	dbl-b, Popular Palace, Mumbai, India
20100816	dbl-b, Popular Palace, Mumbai, India
20100817	dbl-b, Popular Palace, Mumbai, India
20100818	train, 9h, Mumbai -> Ahmedabad, India
20100819	dbl+b, Good Night, Ahmedabad, India
20100820	dbl+b, Mehul, Ahmedabad, India
20100821	dbl+b, Mehul, Ahmedabad, India
20100822	dbl+b, Mehul, Ahmedabad, India
20100823	dbl+b, Mehul, Ahmedabad, India
20100824	dbl+b, Volga, Ahmedabad, India
20100825	dbl+b, Volga, Ahmedabad, India
